text,prediction,probab_0,probab_1
"simplistic , silly and tedious .",1,0.001,0.999
"it's so laddish and juvenile , only teenage boys could possibly find it funny .",1,0.071,0.929
exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable .,1,0.001,0.999
"[garbus] discards the potential for pathological study , exhuming instead , the skewed melodrama of the circumstantial situation .",1,0.002,0.998
a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification .,1,0.002,0.998
"the story is also as unoriginal as they come , already having been recycled more times than i'd care to count .",1,0.001,0.999
about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience's meat grinder one more time .,1,0.01,0.99
not so much farcical as sour .,1,0.008,0.992
unfortunately the story and the actors are served with a hack script .,1,0.001,0.999
"all the more disquieting for its relatively gore-free allusions to the serial murders , but it falls down in its attempts to humanize its subject .",1,0.002,0.998
a sentimental mess that never rings true .,1,0.046,0.954
"while the performances are often engaging , this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary .",1,0.002,0.998
"interesting , but not compelling .",1,0.044,0.956
"on a cutting room floor somewhere lies . . . footage that might have made no such thing a trenchant , ironic cultural satire instead of a frustrating misfire .",1,0.001,0.999
"while the ensemble player who gained notice in guy ritchie's lock , stock and two smoking barrels and snatch has the bod , he's unlikely to become a household name on the basis of his first starring vehicle .",1,0.006,0.994
there is a difference between movies with the courage to go over the top and movies that don't care about being stupid,1,0.003,0.997
"nothing here seems as funny as it did in analyze this , not even joe viterelli as de niro's right-hand goombah .",1,0.006,0.994
"such master screenwriting comes courtesy of john pogue , the yale grad who previously gave us "" the skulls "" and last year's "" rollerball . "" enough said , except : film overboard !",1,0.035,0.965
"here , common sense flies out the window , along with the hail of bullets , none of which ever seem to hit sascha .",1,0.003,0.997
this 100-minute movie only has about 25 minutes of decent material .,1,0.002,0.998
the execution is so pedestrian that the most positive comment we can make is that rob schneider actually turns in a pretty convincing performance as a prissy teenage girl .,0,0.521,0.479
"on its own , it's not very interesting . as a remake , it's a pale imitation .",1,0.002,0.998
it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there's a little girl-on-girl action .,1,0.011,0.989
"a farce of a parody of a comedy of a premise , it isn't a comparison to reality so much as it is a commentary about our knowledge of films .",0,0.994,0.006
"as exciting as all this exoticism might sound to the typical pax viewer , the rest of us will be lulled into a coma .",1,0.001,0.999
the party scenes deliver some tawdry kicks . the rest of the film . . . is dudsville .,1,0.006,0.994
our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender ó and i know this because i've seen 'jackass : the movie . ',1,0.001,0.999
"the criticism never rises above easy , cynical potshots at morally bankrupt characters . . .",1,0.001,0.999
"the movie's something-borrowed construction feels less the product of loving , well integrated homage and more like a mere excuse for the wan , thinly sketched story . killing time , that's all that's going on here .",1,0.001,0.999
"stupid , infantile , redundant , sloppy , over-the-top , and amateurish . yep , it's "" waking up in reno . "" go back to sleep .",1,0.001,0.999
"somewhere in the middle , the film compels , as demme experiments he harvests a few movie moment gems , but the field of roughage dominates .",0,0.981,0.019
the action clichÈs just pile up .,1,0.001,0.999
"payami tries to raise some serious issues about iran's electoral process , but the result is a film that's about as subtle as a party political broadcast .",1,0.013,0.987
the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this ; i assume the director has pictures of them cavorting in ladies' underwear .,1,0.003,0.997
another useless recycling of a brutal mid-'70s american sports movie .,1,0.001,0.999
i didn't laugh . i didn't smile . i survived .,1,0.01,0.99
"please , someone , stop eric schaeffer before he makes another film .",1,0.017,0.983
"most of the problems with the film don't derive from the screenplay , but rather the mediocre performances by most of the actors involved",1,0.002,0.998
". . . if you're just in the mood for a fun -- but bad -- movie , you might want to catch freaks as a matinee .",1,0.023,0.977
curling may be a unique sport but men with brooms is distinctly ordinary .,0,0.69,0.31
"though the opera itself takes place mostly indoors , jacquot seems unsure of how to evoke any sort of naturalism on the set .",1,0.003,0.997
there's no getting around the fact that this is revenge of the nerds revisited -- again .,1,0.11,0.89
"the effort is sincere and the results are honest , but the film is so bleak that it's hardly watchable .",1,0.014,0.986
"analyze that regurgitates and waters down many of the previous film's successes , with a few new swings thrown in .",1,0.002,0.998
"with flashbulb editing as cover for the absence of narrative continuity , undisputed is nearly incoherent , an excuse to get to the closing bout . . . by which time it's impossible to care who wins .",1,0.001,0.999
"stinks from start to finish , like a wet burlap sack of gloom .",1,0.001,0.999
"to the civilized mind , a movie like ballistic : ecks vs . sever is more of an ordeal than an amusement .",1,0.001,0.999
equlibrium could pass for a thirteen-year-old's book report on the totalitarian themes of 1984 and farenheit 451 .,1,0.001,0.999
the lack of naturalness makes everything seem self-consciously poetic and forced . . . it's a pity that [nelson's] achievement doesn't match his ambition . ,1,0.002,0.998
everything is off .,1,0.004,0.996
"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",0,0.992,0.008
"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",0,0.999,0.001
effective but too-tepid biopic,1,0.048,0.952
